siparis_id,tarih_saat,musteri_tipi,urun_kategori,siparis_tutar,odeme_yontemi,kargo_firma,teslimat_sure,siparis_durum,memnuniyet_puan,bolge,tarih,saat,gun_adi,hafta
5593,2025-11-01 16:50:36,Bireysel,Giyim,238.49,Kapıda Ödeme,Süper Kargo,4,Tamamlandı,3.9,Ankara,2025-11-01,16,Saturday,43
9418,2025-11-01 16:55:18,Bireysel,Elektronik,20.0,Havale,Süper Kargo,3,Tamamlandı,4.0,İstanbul,2025-11-01,16,Saturday,43
2062,2025-11-01 16:57:38,Bireysel,Giyim,20.0,Havale,Hızlı Kargo,2,Tamamlandı,4.7,İstanbul,2025-11-01,16,Saturday,43
2533,2025-11-01 16:59:33,Bireysel,Elektronik,1253.67,Kredi Kartı,Hızlı Kargo,4,Tamamlandı,4.2,Ankara,2025-11-01,16,Saturday,43
1109,2025-11-01 17:00:46,Bireysel,Giyim,50.55,Kapıda Ödeme,Süper Kargo,3,Tamamlandı,4.3,İstanbul,2025-11-01,17,Saturday,43
7545,2025-11-01 17:11:59,Kurumsal,Elektronik,20.0,Havale,Express Lojistik,4,Tamamlandı,4.4,Diğer Şehirler,2025-11-01,17,Saturday,43
3156,2025-11-01 17:12:18,Bireysel,Ev & Yaşam,566.33,Kredi Kartı,Hızlı Kargo,2,Tamamlandı,4.6,İstanbul,2025-11-01,17,Saturday,43
13152,2025-11-01 17:12:21,Bireysel,Kitap & Hobi,20.17,Kapıda Ödeme,Süper Kargo,2,Tamamlandı,4.3,İstanbul,2025-11-01,17,Saturday,43
3814,2025-11-01 17:21:16,Kurumsal,Elektronik,1159.46,Kredi Kartı,Hızlı Kargo,4,Tamamlandı,4.2,Diğer Şehirler,2025-11-01,17,Saturday,43
2874,2025-11-01 17:25:16,Bireysel,Elektronik,20.0,Kredi Kartı,Süper Kargo,2,Tamamlandı,4.5,İstanbul,2025-11-01,17,Saturday,43
9502,2025-11-01 17:34:29,Bireysel,Giyim,79.1,Kredi Kartı,Hızlı Kargo,2,Tamamlandı,4.7,İstanbul,2025-11-01,17,Saturday,43
12385,2025-11-01 17:37:19,Bireysel,Elektronik,960.97,Kredi Kartı,Süper Kargo,2,Tamamlandı,4.8,İstanbul,2025-11-01,17,Saturday,43
5441,2025-11-01 17:38:33,Kurumsal,Giyim,569.14,Kredi Kartı,Süper Kargo,3,Tamamlandı,4.6,İzmir,2025-11-01,17,Saturday,43
6365,2025-11-01 17:39:33,Bireysel,Giyim,190.85,Kapıda Ödeme,Hızlı Kargo,4,Tamamlandı,4.2,Diğer Şehirler,2025-11-01,17,Saturday,43
7372,2025-11-01 17:49:14,Kurumsal,Kitap & Hobi,354.64,Kredi Kartı,Süper Kargo,2,Tamamlandı,4.6,İstanbul,2025-11-01,17,Saturday,43
8304,2025-11-01 17:59:26,Bireysel,Spor,69.25,Kredi Kartı,Süper Kargo,2,Tamamlandı,4.6,İstanbul,2025-11-01,17,Saturday,43
1053,2025-11-01 18:01:52,Bireysel,Ev & Yaşam,364.93,Kapıda Ödeme,Hızlı Kargo,4,Tamamlandı,3.9,Ankara,2025-11-01,18,Saturday,43
11545,2025-11-01 18:15:26,Bireysel,Spor,271.4,Kredi Kartı,Hızlı Kargo,3,Tamamlandı,4.5,Ankara,2025-11-01,18,Saturday,43
5607,2025-11-01 18:26:06,Bireysel,Spor,302.68,Havale,Süper Kargo,4,Tamamlandı,4.4,İstanbul,2025-11-01,18,Saturday,43
13287,2025-11-01 18:30:37,Kurumsal,Giyim,365.58,Kapıda Ödeme,Hızlı Kargo,2,Tamamlandı,4.9,İzmir,2025-11-01,18,Saturday,43
1816,2025-11-01 18:37:05,Kurumsal,Elektronik,3687.96,Kapıda Ödeme,Express Lojistik,2,İade,2.0,İstanbul,2025-11-01,18,Saturday,43
1498,2025-11-01 18:53:19,Bireysel,Giyim,256.28,Kredi Kartı,Süper Kargo,3,Tamamlandı,3.9,İstanbul,2025-11-01,18,Saturday,43
13258,2025-11-01 18:56:32,Bireysel,Elektronik,895.03,Kredi Kartı,Express Lojistik,4,İade,2.6,Diğer Şehirler,2025-11-01,18,Saturday,43
10006,2025-11-01 18:58:59,Bireysel,Ev & Yaşam,67.52,Kapıda Ödeme,Süper Kargo,3,Tamamlandı,4.1,Ankara,2025-11-01,18,Saturday,43
8322,2025-11-01 19:02:26,Bireysel,Ev & Yaşam,55.87,Kapıda Ödeme,Süper Kargo,4,Tamamlandı,4.3,İstanbul,2025-11-01,19,Saturday,43
5324,2025-11-01 19:14:25,Bireysel,Giyim,162.42,Kredi Kartı,Süper Kargo,4,Tamamlandı,4.6,İzmir,2025-11-01,19,Saturday,43
12748,2025-11-01 19:25:29,Bireysel,Giyim,78.89,Havale,Hızlı Kargo,4,Tamamlandı,4.6,Diğer Şehirler,2025-11-01,19,Saturday,43
9696,2025-11-01 19:26:49,Bireysel,Ev & Yaşam,20.0,Havale,Hızlı Kargo,3,Tamamlandı,4.8,İstanbul,2025-11-01,19,Saturday,43
12563,2025-11-01 19:32:55,Bireysel,Elektronik,1113.0,Kredi Kartı,Hızlı Kargo,2,Tamamlandı,4.7,Diğer Şehirler,2025-11-01,19,Saturday,43
12966,2025-11-01 19:35:31,Bireysel,Kitap & Hobi,50.3,Havale,Hızlı Kargo,4,Tamamlandı,3.8,Diğer Şehirler,2025-11-01,19,Saturday,43
12145,2025-11-01 19:35:53,Bireysel,Giyim,150.41,Kredi Kartı,Hızlı Kargo,3,Tamamlandı,4.8,Diğer Şehirler,2025-11-01,19,Saturday,43
1437,2025-11-01 19:37:14,Kurumsal,Elektronik,20.0,Kredi Kartı,Express Lojistik,3,Tamamlandı,4.2,İstanbul,2025-11-01,19,Saturday,43
5951,2025-11-01 19:41:30,Bireysel,Kitap & Hobi,120.97,Kredi Kartı,Hızlı Kargo,3,Tamamlandı,5.0,Ankara,2025-11-01,19,Saturday,43
6638,2025-11-01 19:44:00,Kurumsal,Giyim,522.42,Havale,Express Lojistik,3,Tamamlandı,4.9,Ankara,2025-11-01,19,Saturday,43
1552,2025-11-01 19:44:41,Bireysel,Giyim,271.51,Kapıda Ödeme,Hızlı Kargo,2,Tamamlandı,5.0,İzmir,2025-11-01,19,Saturday,43
4358,2025-11-01 19:53:15,Bireysel,Giyim,110.28,Kredi Kartı,Süper Kargo,3,Tamamlandı,4.7,Ankara,2025-11-01,19,Saturday,43
11499,2025-11-01 20:03:22,Kurumsal,Elektronik,3907.45,Kredi Kartı,Express Lojistik,3,Tamamlandı,4.4,İzmir,2025-11-01,20,Saturday,43
13320,2025-11-01 20:04:47,Kurumsal,Elektronik,2400.7,Kredi Kartı,Hızlı Kargo,4,Tamamlandı,4.4,İzmir,2025-11-01,20,Saturday,43
1830,2025-11-01 20:18:11,Bireysel,Ev & Yaşam,242.93,Kapıda Ödeme,Express Lojistik,2,Tamamlandı,4.9,Ankara,2025-11-01,20,Saturday,43
2038,2025-11-01 20:23:26,Bireysel,Giyim,256.66,Havale,Express Lojistik,1,Tamamlandı,5.0,İstanbul,2025-11-01,20,Saturday,43
3535,2025-11-01 20:24:15,Kurumsal,Elektronik,2211.69,Kredi Kartı,Süper Kargo,6,Tamamlandı,3.5,Diğer Şehirler,2025-11-01,20,Saturday,43
7516,2025-11-01 20:25:48,Bireysel,Elektronik,1445.19,Kredi Kartı,Express Lojistik,4,İade,2.3,İzmir,2025-11-01,20,Saturday,43
8136,2025-11-01 20:27:24,Bireysel,Kitap & Hobi,70.09,Kredi Kartı,Express Lojistik,3,Tamamlandı,4.9,İzmir,2025-11-01,20,Saturday,43
2497,2025-11-01 20:28:19,Bireysel,Elektronik,20.0,Kredi Kartı,Süper Kargo,5,İade,3.4,İzmir,2025-11-01,20,Saturday,43
3798,2025-11-01 20:59:32,Bireysel,Giyim,123.62,Kredi Kartı,Süper Kargo,2,Tamamlandı,4.6,İstanbul,2025-11-01,20,Saturday,43
1211,2025-11-01 21:11:25,Bireysel,Kitap & Hobi,57.46,Kredi Kartı,Hızlı Kargo,2,Tamamlandı,4.4,İzmir,2025-11-01,21,Saturday,43
4832,2025-11-01 21:15:57,Bireysel,Ev & Yaşam,116.68,Kredi Kartı,Express Lojistik,1,Tamamlandı,4.6,İstanbul,2025-11-01,21,Saturday,43
6468,2025-11-01 21:20:59,Bireysel,Elektronik,159.63,Kapıda Ödeme,Hızlı Kargo,3,Tamamlandı,4.8,Ankara,2025-11-01,21,Saturday,43
12866,2025-11-01 21:22:17,Bireysel,Elektronik,1359.41,Havale,Express Lojistik,2,Tamamlandı,4.9,İstanbul,2025-11-01,21,Saturday,43
5691,2025-11-01 21:38:48,Bireysel,Spor,191.78,Kredi Kartı,Süper Kargo,2,Tamamlandı,4.9,İstanbul,2025-11-01,21,Saturday,43
12651,2025-11-01 21:43:49,Bireysel,Elektronik,1065.76,Kredi Kartı,Süper Kargo,2,Tamamlandı,4.8,İstanbul,2025-11-01,21,Saturday,43
13220,2025-11-01 21:46:20,Bireysel,Kitap & Hobi,62.36,Kredi Kartı,Express Lojistik,3,Tamamlandı,5.0,İzmir,2025-11-01,21,Saturday,43
3842,2025-11-01 22:08:28,Bireysel,Elektronik,62.13,Kredi Kartı,Hızlı Kargo,3,Tamamlandı,4.5,İzmir,2025-11-01,22,Saturday,43
8087,2025-11-01 22:16:47,Bireysel,Elektronik,20.0,Kredi Kartı,Express Lojistik,4,Tamamlandı,4.4,Ankara,2025-11-01,22,Saturday,43
7037,2025-11-01 22:18:33,Bireysel,Giyim,258.59,Kredi Kartı,Express Lojistik,3,Tamamlandı,4.5,Diğer Şehirler,2025-11-01,22,Saturday,43
11314,2025-11-01 22:20:08,Bireysel,Spor,136.32,Havale,Süper Kargo,4,Tamamlandı,4.3,Ankara,2025-11-01,22,Saturday,43
1880,2025-11-01 22:23:34,Bireysel,Kitap & Hobi,87.25,Kredi Kartı,Express Lojistik,4,İade,2.8,Diğer Şehirler,2025-11-01,22,Saturday,43
12102,2025-11-01 22:26:07,Bireysel,Spor,209.22,Kredi Kartı,Hızlı Kargo,3,İade,2.7,Ankara,2025-11-01,22,Saturday,43
9732,2025-11-01 22:31:43,Kurumsal,Giyim,585.1,Havale,Hızlı Kargo,5,Tamamlandı,3.9,Diğer Şehirler,2025-11-01,22,Saturday,43
2168,2025-11-01 22:47:46,Bireysel,Giyim,20.0,Kredi Kartı,Express Lojistik,2,Tamamlandı,4.6,İzmir,2025-11-01,22,Saturday,43
10166,2025-11-01 22:48:14,Bireysel,Ev & Yaşam,126.6,Havale,Hızlı Kargo,4,Tamamlandı,4.2,Diğer Şehirler,2025-11-01,22,Saturday,43
7455,2025-11-01 23:23:46,Bireysel,Giyim,285.87,Havale,Süper Kargo,2,Tamamlandı,4.4,İstanbul,2025-11-01,23,Saturday,43
11466,2025-11-01 23:25:05,Kurumsal,Spor,641.62,Kredi Kartı,Süper Kargo,5,Tamamlandı,4.0,İzmir,2025-11-01,23,Saturday,43
1161,2025-11-01 23:27:56,Bireysel,Ev & Yaşam,328.51,Havale,Hızlı Kargo,2,Tamamlandı,4.7,İstanbul,2025-11-01,23,Saturday,43
6418,2025-11-01 23:42:54,Bireysel,Giyim,184.8,Kredi Kartı,Hızlı Kargo,3,İade,2.5,Diğer Şehirler,2025-11-01,23,Saturday,43
5875,2025-11-01 23:57:42,Bireysel,Ev & Yaşam,197.36,Kredi Kartı,Express Lojistik,4,Tamamlandı,4.2,Diğer Şehirler,2025-11-01,23,Saturday,43
12209,2025-11-02 00:00:30,Bireysel,Kitap & Hobi,190.18,Kredi Kartı,Süper Kargo,3,Tamamlandı,4.6,İzmir,2025-11-02,0,Sunday,44
9172,2025-11-02 00:09:01,Bireysel,Giyim,209.82,Kredi Kartı,Express Lojistik,4,Tamamlandı,5.0,Diğer Şehirler,2025-11-02,0,Sunday,44
1254,2025-11-02 00:21:59,Bireysel,Giyim,204.4,Kredi Kartı,Express Lojistik,4,Tamamlandı,4.8,Diğer Şehirler,2025-11-02,0,Sunday,44
7230,2025-11-02 00:24:17,Bireysel,Elektronik,20.0,Kredi Kartı,Hızlı Kargo,5,Tamamlandı,4.0,Diğer Şehirler,2025-11-02,0,Sunday,44
6760,2025-11-02 00:36:06,Bireysel,Ev & Yaşam,261.33,Kredi Kartı,Hızlı Kargo,4,Tamamlandı,3.9,Ankara,2025-11-02,0,Sunday,44
5032,2025-11-02 00:45:04,Bireysel,Giyim,302.65,Kredi Kartı,Express Lojistik,3,Tamamlandı,4.4,İstanbul,2025-11-02,0,Sunday,44
7193,2025-11-02 00:46:16,Bireysel,Giyim,160.15,Kredi Kartı,Süper Kargo,5,Tamamlandı,3.7,İzmir,2025-11-02,0,Sunday,44
12224,2025-11-02 00:57:45,Bireysel,Giyim,180.16,Havale,Hızlı Kargo,3,Tamamlandı,4.6,Ankara,2025-11-02,0,Sunday,44
6053,2025-11-02 00:59:04,Kurumsal,Ev & Yaşam,450.49,Kredi Kartı,Süper Kargo,4,Tamamlandı,4.1,Diğer Şehirler,2025-11-02,0,Sunday,44
13315,2025-11-02 01:12:11,Bireysel,Kitap & Hobi,20.0,Kredi Kartı,Express Lojistik,2,İptal,2.5,İstanbul,2025-11-02,1,Sunday,44
10869,2025-11-02 01:14:49,Kurumsal,Giyim,540.26,Kapıda Ödeme,Hızlı Kargo,1,Tamamlandı,5.0,İstanbul,2025-11-02,1,Sunday,44
1320,2025-11-02 01:19:10,Bireysel,Kitap & Hobi,20.0,Kredi Kartı,Express Lojistik,4,Tamamlandı,4.4,İzmir,2025-11-02,1,Sunday,44
3391,2025-11-02 01:20:19,Kurumsal,Ev & Yaşam,558.13,Kredi Kartı,Süper Kargo,3,Tamamlandı,4.3,Ankara,2025-11-02,1,Sunday,44
11852,2025-11-02 01:25:56,Bireysel,Giyim,253.5,Havale,Express Lojistik,1,Tamamlandı,4.7,İstanbul,2025-11-02,1,Sunday,44
2723,2025-11-02 01:28:05,Kurumsal,Kitap & Hobi,229.31,Kapıda Ödeme,Süper Kargo,3,Tamamlandı,4.1,Ankara,2025-11-02,1,Sunday,44
4489,2025-11-02 01:32:06,Bireysel,Kitap & Hobi,133.24,Kredi Kartı,Hızlı Kargo,4,Tamamlandı,4.5,Diğer Şehirler,2025-11-02,1,Sunday,44
13047,2025-11-02 02:06:52,Bireysel,Elektronik,509.24,Kredi Kartı,Süper Kargo,2,Tamamlandı,3.7,İstanbul,2025-11-02,2,Sunday,44
9895,2025-11-02 02:07:00,Kurumsal,Giyim,432.32,Havale,Süper Kargo,4,Tamamlandı,4.2,Ankara,2025-11-02,2,Sunday,44
1780,2025-11-02 02:22:02,Bireysel,Giyim,194.92,Havale,Süper Kargo,4,Tamamlandı,4.3,Diğer Şehirler,2025-11-02,2,Sunday,44
4572,2025-11-02 02:30:35,Bireysel,Elektronik,20.0,Kredi Kartı,Hızlı Kargo,4,Tamamlandı,4.1,Ankara,2025-11-02,2,Sunday,44
5275,2025-11-02 03:16:33,Bireysel,Ev & Yaşam,20.0,Havale,Express Lojistik,4,Tamamlandı,4.5,Diğer Şehirler,2025-11-02,3,Sunday,44
9431,2025-11-02 04:12:58,Bireysel,Spor,20.0,Havale,Express Lojistik,2,İade,2.5,İzmir,2025-11-02,4,Sunday,44
8549,2025-11-02 04:25:45,Bireysel,Spor,685.85,Kredi Kartı,Süper Kargo,3,Tamamlandı,4.1,İstanbul,2025-11-02,4,Sunday,44
7136,2025-11-02 04:40:55,Bireysel,Spor,439.81,Kredi Kartı,Hızlı Kargo,2,Tamamlandı,4.5,İstanbul,2025-11-02,4,Sunday,44
11803,2025-11-02 05:17:00,Bireysel,Giyim,146.74,Kredi Kartı,Hızlı Kargo,4,Tamamlandı,4.2,İzmir,2025-11-02,5,Sunday,44
9250,2025-11-02 05:27:16,Bireysel,Elektronik,468.8,Kredi Kartı,Süper Kargo,3,Tamamlandı,4.5,İstanbul,2025-11-02,5,Sunday,44
7280,2025-11-02 05:31:52,Kurumsal,Giyim,337.73,Havale,Express Lojistik,2,Tamamlandı,4.7,İstanbul,2025-11-02,5,Sunday,44
5332,2025-11-02 05:36:26,Bireysel,Kitap & Hobi,20.0,Havale,Express Lojistik,2,Tamamlandı,4.6,İzmir,2025-11-02,5,Sunday,44
10381,2025-11-02 05:46:22,Bireysel,Kitap & Hobi,51.8,Kredi Kartı,Hızlı Kargo,3,Tamamlandı,4.6,İstanbul,2025-11-02,5,Sunday,44
8316,2025-11-02 06:22:08,Kurumsal,Elektronik,1072.54,Kredi Kartı,Hızlı Kargo,2,Tamamlandı,4.8,İstanbul,2025-11-02,6,Sunday,44
9795,2025-11-02 06:37:42,Bireysel,Elektronik,300.32,Kredi Kartı,Hızlı Kargo,2,Tamamlandı,4.8,İzmir,2025-11-02,6,Sunday,44
5188,2025-11-02 06:53:39,Bireysel,Spor,84.18,Kredi Kartı,Hızlı Kargo,2,Tamamlandı,5.0,İstanbul,2025-11-02,6,Sunday,44
10332,2025-11-02 07:25:51,Bireysel,Giyim,214.19,Kredi Kartı,Süper Kargo,4,Tamamlandı,4.5,İstanbul,2025-11-02,7,Sunday,44
5200,2025-11-02 07:47:49,Bireysel,Kitap & Hobi,118.13,Kapıda Ödeme,Süper Kargo,4,Tamamlandı,4.1,İstanbul,2025-11-02,7,Sunday,44
11513,2025-11-02 08:01:52,Kurumsal,Elektronik,3376.02,Kredi Kartı,Süper Kargo,4,Tamamlandı,3.7,Ankara,2025-11-02,8,Sunday,44
8860,2025-11-02 08:28:27,Bireysel,Elektronik,20.0,Havale,Süper Kargo,4,İptal,2.4,Ankara,2025-11-02,8,Sunday,44
1846,2025-11-02 09:11:34,Bireysel,Elektronik,20.0,Kredi Kartı,Süper Kargo,4,Tamamlandı,4.4,Diğer Şehirler,2025-11-02,9,Sunday,44
13044,2025-11-02 09:15:42,Bireysel,Ev & Yaşam,165.17,Kredi Kartı,Hızlı Kargo,2,Tamamlandı,4.6,İstanbul,2025-11-02,9,Sunday,44
8265,2025-11-02 10:30:07,Kurumsal,Kitap & Hobi,234.14,Kredi Kartı,Express Lojistik,3,Tamamlandı,4.9,İstanbul,2025-11-02,10,Sunday,44
1123,2025-11-02 10:31:26,Bireysel,Giyim,254.65,Kredi Kartı,Express Lojistik,4,Tamamlandı,4.1,Diğer Şehirler,2025-11-02,10,Sunday,44
9576,2025-11-02 11:30:08,Bireysel,Ev & Yaşam,208.83,Kredi Kartı,Hızlı Kargo,1,Tamamlandı,4.1,İstanbul,2025-11-02,11,Sunday,44
4816,2025-11-02 13:07:44,Bireysel,Elektronik,997.49,Kredi Kartı,Süper Kargo,5,Tamamlandı,3.6,Ankara,2025-11-02,13,Sunday,44
3451,2025-11-02 13:31:41,Bireysel,Kitap & Hobi,92.79,Kredi Kartı,Express Lojistik,4,Tamamlandı,4.5,Ankara,2025-11-02,13,Sunday,44
9356,2025-11-02 13:48:02,Bireysel,Giyim,20.0,Kapıda Ödeme,Hızlı Kargo,3,Tamamlandı,4.6,Diğer Şehirler,2025-11-02,13,Sunday,44
6786,2025-11-02 14:05:30,Kurumsal,Kitap & Hobi,405.69,Havale,Süper Kargo,3,Tamamlandı,4.2,Diğer Şehirler,2025-11-02,14,Sunday,44
2685,2025-11-02 14:13:24,Bireysel,Ev & Yaşam,20.0,Kredi Kartı,Hızlı Kargo,3,Tamamlandı,4.4,İzmir,2025-11-02,14,Sunday,44
2420,2025-11-02 14:26:26,Bireysel,Giyim,48.79,Havale,Hızlı Kargo,2,Tamamlandı,4.8,Ankara,2025-11-02,14,Sunday,44
13193,2025-11-02 14:35:43,Kurumsal,Elektronik,2290.4,Kredi Kartı,Hızlı Kargo,2,İptal,1.7,Ankara,2025-11-02,14,Sunday,44
5327,2025-11-02 14:39:17,Bireysel,Elektronik,20.0,Kapıda Ödeme,Hızlı Kargo,2,Tamamlandı,4.8,Diğer Şehirler,2025-11-02,14,Sunday,44
3089,2025-11-02 14:40:43,Bireysel,Elektronik,20.0,Kredi Kartı,Express Lojistik,3,Tamamlandı,4.4,Ankara,2025-11-02,14,Sunday,44
13067,2025-11-02 14:56:56,Bireysel,Giyim,129.89,Kredi Kartı,Express Lojistik,4,Tamamlandı,3.8,İzmir,2025-11-02,14,Sunday,44
4093,2025-11-02 15:13:07,Bireysel,Spor,390.86,Kapıda Ödeme,Hızlı Kargo,1,Tamamlandı,5.0,İstanbul,2025-11-02,15,Sunday,44
1248,2025-11-02 15:36:08,Kurumsal,Elektronik,1818.81,Kredi Kartı,Süper Kargo,5,Tamamlandı,3.8,İzmir,2025-11-02,15,Sunday,44
5246,2025-11-02 16:03:16,Kurumsal,Spor,647.01,Havale,Süper Kargo,3,Tamamlandı,4.8,İstanbul,2025-11-02,16,Sunday,44
3447,2025-11-02 16:03:35,Bireysel,Kitap & Hobi,84.73,Havale,Hızlı Kargo,5,Tamamlandı,4.6,Diğer Şehirler,2025-11-02,16,Sunday,44
12576,2025-11-02 16:13:13,Bireysel,Kitap & Hobi,76.56,Havale,Hızlı Kargo,2,İptal,2.4,Ankara,2025-11-02,16,Sunday,44
9889,2025-11-02 16:37:38,Bireysel,Giyim,175.91,Havale,Hızlı Kargo,2,Tamamlandı,4.5,Diğer Şehirler,2025-11-02,16,Sunday,44
11935,2025-11-02 16:44:16,Bireysel,Ev & Yaşam,174.62,Kredi Kartı,Hızlı Kargo,2,Tamamlandı,4.6,İzmir,2025-11-02,16,Sunday,44
8387,2025-11-02 16:56:50,Bireysel,Giyim,105.23,Kredi Kartı,Express Lojistik,3,Tamamlandı,4.7,İstanbul,2025-11-02,16,Sunday,44
2789,2025-11-02 16:58:45,Bireysel,Spor,212.48,Kredi Kartı,Süper Kargo,4,Tamamlandı,4.4,İstanbul,2025-11-02,16,Sunday,44
7182,2025-11-02 17:05:19,Bireysel,Ev & Yaşam,121.19,Kapıda Ödeme,Hızlı Kargo,4,Tamamlandı,4.2,Diğer Şehirler,2025-11-02,17,Sunday,44
12727,2025-11-02 17:05:30,Kurumsal,Ev & Yaşam,631.61,Kredi Kartı,Hızlı Kargo,1,Tamamlandı,4.6,İstanbul,2025-11-02,17,Sunday,44
13274,2025-11-02 17:18:56,Kurumsal,Spor,1544.06,Kredi Kartı,Hızlı Kargo,3,Tamamlandı,4.7,İstanbul,2025-11-02,17,Sunday,44
8661,2025-11-02 17:21:50,Bireysel,Ev & Yaşam,98.49,Kredi Kartı,Süper Kargo,6,Tamamlandı,3.8,Diğer Şehirler,2025-11-02,17,Sunday,44
10572,2025-11-02 17:47:57,Bireysel,Elektronik,1429.12,Kredi Kartı,Hızlı Kargo,2,Tamamlandı,4.8,Ankara,2025-11-02,17,Sunday,44
1566,2025-11-02 18:06:20,Bireysel,Giyim,139.1,Kredi Kartı,Süper Kargo,4,Tamamlandı,4.1,Diğer Şehirler,2025-11-02,18,Sunday,44
2098,2025-11-02 18:09:37,Kurumsal,Ev & Yaşam,335.12,Kredi Kartı,Süper Kargo,4,Tamamlandı,4.1,İstanbul,2025-11-02,18,Sunday,44
6008,2025-11-02 18:26:53,Kurumsal,Spor,1356.02,Kapıda Ödeme,Hızlı Kargo,2,Tamamlandı,4.4,Ankara,2025-11-02,18,Sunday,44
9822,2025-11-02 18:27:12,Bireysel,Giyim,155.65,Kredi Kartı,Süper Kargo,2,Tamamlandı,4.3,İstanbul,2025-11-02,18,Sunday,44
12817,2025-11-02 18:37:54,Kurumsal,Giyim,517.16,Kredi Kartı,Express Lojistik,2,İade,2.3,İstanbul,2025-11-02,18,Sunday,44
13343,2025-11-02 18:47:05,Kurumsal,Elektronik,20.0,Kredi Kartı,Hızlı Kargo,2,Tamamlandı,4.6,Diğer Şehirler,2025-11-02,18,Sunday,44
6078,2025-11-02 18:47:09,Kurumsal,Ev & Yaşam,833.65,Kredi Kartı,Hızlı Kargo,3,İade,2.4,İzmir,2025-11-02,18,Sunday,44
4078,2025-11-02 18:49:20,Bireysel,Ev & Yaşam,20.0,Havale,Express Lojistik,2,Tamamlandı,4.8,İstanbul,2025-11-02,18,Sunday,44
10528,2025-11-02 18:54:46,Bireysel,Giyim,192.65,Kredi Kartı,Hızlı Kargo,3,Tamamlandı,4.5,İstanbul,2025-11-02,18,Sunday,44
10139,2025-11-02 18:58:17,Bireysel,Kitap & Hobi,99.33,Kredi Kartı,Hızlı Kargo,3,Tamamlandı,4.9,Ankara,2025-11-02,18,Sunday,44
1755,2025-11-02 19:02:44,Bireysel,Elektronik,20.0,Kapıda Ödeme,Hızlı Kargo,2,Tamamlandı,4.8,İstanbul,2025-11-02,19,Sunday,44
11669,2025-11-02 19:09:41,Kurumsal,Ev & Yaşam,297.34,Kredi Kartı,Hızlı Kargo,5,İade,2.2,Diğer Şehirler,2025-11-02,19,Sunday,44
