rezervasyon_id,tarih_saat,musteri_tipi,cadir_tipi,yas_grubu,odeme_yontemi,sezon,konaklama_gece,toplam_tutar,checkin_sure_dk,memnuniyet_puan,ekstra_kahvalti,ekstra_somine,ekstra_aktivite,onceki_ziyaret,ek_harcama
RZV00053,2024-01-02 16:02:00,Aile,Standart,36-45,Kredi Kartı,Kış,7,11644.03,26,4.1,True,False,True,2,1297.11
RZV00054,2024-01-02 16:02:00,Aile,Standart,60+,Online Ödeme,Kış,5,8446.06,19,3.9,True,False,False,1,1185.32
RZV00055,2024-01-02 16:33:00,Aile,Lüks,26-35,Kredi Kartı,Kış,4,11739.56,43,4.8,True,True,True,0,2097.98
RZV00056,2024-01-02 16:40:00,Çift,Royal,18-25,Online Ödeme,Kış,4,10112.38,22,4.3,True,True,False,2,1493.26
RZV00057,2024-01-02 17:12:00,Arkadaş Grubu,Royal,46-60,Online Ödeme,Kış,2,5191.92,23,4.4,True,True,True,0,1101.16
RZV00058,2024-01-02 17:28:00,Aile,Royal,46-60,Nakit,Kış,3,6893.35,23,3.7,True,False,False,0,1104.71
RZV00059,2024-01-02 17:49:00,Çift,Lüks,36-45,Kredi Kartı,Kış,2,5920.28,30,4.7,True,True,True,2,1994.87
RZV00060,2024-01-02 17:53:00,Çift,Royal,46-60,Kredi Kartı,Kış,2,4956.04,25,4.2,True,True,True,3,1551.14
RZV00061,2024-01-02 17:58:00,Çift,Standart,26-35,Kredi Kartı,Kış,2,3668.86,14,3.7,True,False,False,1,625.65
RZV00062,2024-01-02 18:00:00,Arkadaş Grubu,Standart,26-35,Havale,Kış,2,3395.72,5,3.9,True,False,True,4,588.84
RZV00063,2024-01-02 18:11:00,Aile,Lüks,18-25,Kredi Kartı,Kış,5,13711.46,6,4.6,True,False,False,1,1744.12
RZV00064,2024-01-02 18:30:00,Arkadaş Grubu,Standart,26-35,Havale,Kış,2,3310.7,9,3.7,False,True,False,2,790.4
RZV00065,2024-01-02 18:42:00,Çift,Lüks,46-60,Kredi Kartı,Kış,2,6009.93,8,4.8,True,True,True,0,1703.02
RZV00066,2024-01-02 18:59:00,Arkadaş Grubu,Ekonomik,46-60,Online Ödeme,Kış,3,3761.91,13,3.4,False,True,False,1,299.0
RZV00067,2024-01-02 19:22:00,Çift,Lüks,26-35,Kredi Kartı,Kış,2,5577.0,10,5.0,True,False,True,2,1708.38
RZV00068,2024-01-02 19:38:00,Aile,Standart,36-45,Kredi Kartı,Kış,5,7712.88,11,3.8,False,False,False,0,1121.72
RZV00069,2024-01-02 20:02:00,Çift,Lüks,36-45,Kredi Kartı,Kış,2,6173.02,16,4.5,True,False,False,2,1561.54
RZV00070,2024-01-02 20:15:00,Aile,Royal,36-45,Online Ödeme,Kış,7,18301.8,18,4.3,False,True,False,0,1970.43
RZV00071,2024-01-02 20:22:00,Arkadaş Grubu,Lüks,18-25,Kredi Kartı,Kış,3,9673.28,9,4.3,True,False,True,3,2224.24
RZV00072,2024-01-02 20:35:00,Arkadaş Grubu,Standart,36-45,Online Ödeme,Kış,2,3524.62,20,4.1,True,True,False,1,822.57
RZV00073,2024-01-02 20:55:00,Aile,Standart,36-45,Kredi Kartı,Kış,3,5448.36,7,4.1,False,False,True,0,813.38
RZV00074,2024-01-02 21:13:00,Aile,Royal,36-45,Online Ödeme,Kış,5,11318.63,9,3.7,True,False,True,0,2163.45
RZV00075,2024-01-02 21:16:00,Aile,Standart,46-60,Kredi Kartı,Kış,5,8708.14,16,3.4,True,False,False,1,926.36
RZV00076,2024-01-02 21:16:00,Aile,Standart,46-60,Havale,Kış,5,7753.03,14,3.2,True,False,False,0,801.78
RZV00077,2024-01-02 21:40:00,Arkadaş Grubu,Royal,46-60,Havale,Kış,3,7435.86,10,3.9,True,False,False,2,1458.11
RZV00078,2024-01-02 21:56:00,Çift,Lüks,26-35,Online Ödeme,Kış,2,6509.15,6,4.1,True,True,True,0,1500.39
RZV00079,2024-01-02 22:03:00,Çift,Lüks,36-45,Kredi Kartı,Kış,2,6379.35,6,4.4,False,True,True,0,1653.51
RZV00080,2024-01-02 22:28:00,Çift,Standart,36-45,Kredi Kartı,Kış,2,3423.42,6,4.0,True,True,True,0,1009.01
RZV00081,2024-01-02 22:34:00,Aile,Standart,26-35,Kredi Kartı,Kış,5,8990.86,14,4.6,True,True,False,1,1508.61
RZV00082,2024-01-02 22:42:00,Çift,Ekonomik,26-35,Online Ödeme,Kış,3,4164.58,8,3.2,True,False,False,1,346.3
RZV00083,2024-01-02 22:43:00,Tek Kişi,Standart,26-35,Kredi Kartı,Kış,1,1603.45,14,4.0,False,True,False,0,452.78
RZV00084,2024-01-02 22:48:00,Aile,Royal,26-35,Online Ödeme,Kış,3,7558.77,11,4.7,False,False,False,0,1197.55
RZV00085,2024-01-02 22:59:00,Çift,Standart,26-35,Kredi Kartı,Kış,2,3243.5,6,3.6,False,True,True,2,1002.4
RZV00086,2024-01-03 10:00:00,Çift,Royal,26-35,Kredi Kartı,Kış,2,5118.85,12,5.0,True,False,False,0,922.67
RZV00087,2024-01-03 10:01:00,Çift,Ekonomik,18-25,Online Ödeme,Kış,3,3517.74,8,3.8,False,False,False,0,328.27
RZV00088,2024-01-03 10:04:00,Çift,Lüks,46-60,Kredi Kartı,Kış,3,8350.62,24,4.3,True,True,True,0,1820.4
RZV00089,2024-01-03 10:27:00,Çift,Royal,36-45,Online Ödeme,Kış,4,9940.05,9,4.1,False,True,True,3,1678.82
RZV00090,2024-01-03 10:29:00,Çift,Standart,46-60,Kredi Kartı,Kış,2,3178.85,6,4.2,True,False,True,2,963.24
RZV00091,2024-01-03 10:37:00,Arkadaş Grubu,Standart,36-45,Nakit,Kış,2,3167.48,17,3.5,True,False,False,1,508.5
RZV00092,2024-01-03 10:39:00,Çift,Standart,18-25,Nakit,Kış,3,5156.58,10,3.4,True,False,False,0,820.76
RZV00093,2024-01-03 10:42:00,Aile,Royal,26-35,Kredi Kartı,Kış,5,12697.27,12,4.1,True,True,True,4,2511.34
RZV00094,2024-01-03 10:51:00,Aile,Lüks,36-45,Kredi Kartı,Kış,4,11348.95,9,4.2,True,True,False,2,2157.14
RZV00095,2024-01-03 11:00:00,Arkadaş Grubu,Royal,36-45,Nakit,Kış,3,7627.15,10,4.7,True,False,True,6,1241.29
RZV00096,2024-01-03 11:02:00,Çift,Ekonomik,26-35,Nakit,Kış,2,2707.06,6,3.4,True,False,False,0,267.83
RZV00097,2024-01-03 11:16:00,Arkadaş Grubu,Standart,26-35,Kredi Kartı,Kış,3,5180.69,16,3.6,True,False,False,0,943.57
RZV00098,2024-01-03 11:17:00,Aile,Royal,46-60,Online Ödeme,Kış,4,9799.06,9,3.7,True,True,False,0,1941.86
RZV00099,2024-01-03 11:24:00,Aile,Ekonomik,26-35,Online Ödeme,Kış,3,3473.44,6,3.1,False,False,False,0,304.39
RZV00100,2024-01-03 11:30:00,Çift,Royal,26-35,Havale,Kış,2,4633.51,12,3.7,False,True,False,0,1037.99
RZV00101,2024-01-03 11:35:00,Aile,Lüks,46-60,Nakit,Kış,3,8502.66,14,5.0,True,True,False,3,1980.69
RZV00102,2024-01-03 11:35:00,Arkadaş Grubu,Royal,46-60,Nakit,Kış,3,6640.21,6,4.4,True,True,False,2,1546.08
RZV00103,2024-01-03 11:49:00,Çift,Royal,46-60,Nakit,Kış,2,4654.96,32,4.3,False,True,False,0,902.41
RZV00104,2024-01-03 11:54:00,Çift,Ekonomik,18-25,Online Ödeme,Kış,3,3714.0,14,4.0,False,True,False,0,512.85
RZV00105,2024-01-03 12:01:00,Çift,Standart,46-60,Online Ödeme,Kış,4,7111.29,9,3.8,True,False,False,2,1168.0
RZV00106,2024-01-03 12:16:00,Aile,Royal,60+,Online Ödeme,Kış,3,7280.08,10,4.1,True,True,True,1,1271.28
RZV00107,2024-01-03 12:46:00,Çift,Royal,26-35,Havale,Kış,2,5153.27,15,4.6,True,False,False,1,800.98
RZV00108,2024-01-03 12:49:00,Arkadaş Grubu,Lüks,26-35,Kredi Kartı,Kış,3,8292.05,12,4.9,True,True,True,1,2447.55
RZV00109,2024-01-03 12:55:00,Aile,Royal,36-45,Nakit,Kış,3,6511.32,7,4.3,True,False,False,1,1140.22
RZV00110,2024-01-03 13:53:00,Çift,Royal,26-35,Havale,Kış,2,4792.95,14,3.8,True,False,True,0,1470.4
RZV00111,2024-01-03 13:58:00,Arkadaş Grubu,Standart,36-45,Kredi Kartı,Kış,2,3060.7,18,3.9,True,True,False,5,829.49
RZV00112,2024-01-03 14:19:00,Çift,Standart,36-45,Online Ödeme,Kış,2,3595.65,18,3.7,True,True,False,5,809.94
RZV00113,2024-01-03 14:22:00,Çift,Ekonomik,18-25,Kredi Kartı,Kış,4,5106.09,21,2.9,True,False,False,0,347.82
RZV00114,2024-01-03 14:43:00,Aile,Royal,36-45,Nakit,Kış,5,11871.6,20,4.1,True,True,False,2,1548.13
RZV00115,2024-01-03 14:46:00,Arkadaş Grubu,Standart,26-35,Kredi Kartı,Kış,3,4959.75,17,3.4,True,False,True,0,1209.29
RZV00116,2024-01-03 15:00:00,Aile,Standart,26-35,Havale,Kış,5,8287.46,41,3.0,True,False,False,0,1071.74
RZV00117,2024-01-03 15:12:00,Çift,Royal,26-35,Kredi Kartı,Kış,4,9388.88,27,4.1,True,True,False,0,1231.17
RZV00118,2024-01-03 15:14:00,Aile,Lüks,26-35,Kredi Kartı,Kış,3,8061.12,40,4.1,True,True,True,1,1981.32
RZV00119,2024-01-03 15:14:00,Aile,Royal,26-35,Nakit,Kış,5,10908.84,24,4.1,True,False,True,0,1769.43
RZV00120,2024-01-03 15:16:00,Aile,Royal,26-35,Kredi Kartı,Kış,4,9529.61,32,4.0,True,True,True,0,2270.62
RZV00121,2024-01-03 15:29:00,Çift,Lüks,60+,Nakit,Kış,4,11067.29,14,4.7,True,True,False,0,1892.29
RZV00122,2024-01-03 15:36:00,Aile,Standart,36-45,Kredi Kartı,Kış,5,8973.9,17,3.8,True,False,False,0,1030.93
RZV00123,2024-01-03 16:03:00,Arkadaş Grubu,Royal,26-35,Online Ödeme,Kış,2,4545.31,31,3.9,True,True,False,0,1244.25
RZV00124,2024-01-03 16:25:00,Aile,Standart,18-25,Kredi Kartı,Kış,3,4689.86,19,4.2,True,False,False,0,804.22
RZV00125,2024-01-03 16:28:00,Çift,Standart,36-45,Kredi Kartı,Kış,2,3219.94,33,3.2,False,False,False,2,578.06
RZV00126,2024-01-03 16:44:00,Çift,Standart,36-45,Havale,Kış,2,3302.83,30,3.3,True,True,True,0,974.84
RZV00127,2024-01-03 16:53:00,Arkadaş Grubu,Lüks,26-35,Online Ödeme,Kış,4,10794.05,22,4.6,True,True,False,0,2255.8
RZV00128,2024-01-03 16:56:00,Aile,Standart,60+,Online Ödeme,Kış,5,7890.85,24,3.3,True,True,False,0,1395.16
RZV00129,2024-01-03 17:32:00,Aile,Lüks,60+,Kredi Kartı,Kış,3,8610.57,21,4.5,True,True,True,0,2825.6
RZV00130,2024-01-03 17:39:00,Çift,Lüks,26-35,Kredi Kartı,Kış,3,8586.71,24,4.7,True,True,False,0,1583.24
RZV00131,2024-01-03 18:16:00,Arkadaş Grubu,Lüks,18-25,Havale,Kış,3,9461.19,16,4.4,True,True,True,0,2509.52
RZV00132,2024-01-03 18:40:00,Çift,Standart,26-35,Kredi Kartı,Kış,2,3633.41,6,3.7,False,True,False,1,524.24
RZV00133,2024-01-03 19:25:00,Tek Kişi,Royal,18-25,Nakit,Kış,1,2234.07,6,4.6,True,True,True,0,754.18
RZV00134,2024-01-03 19:30:00,Arkadaş Grubu,Lüks,36-45,Kredi Kartı,Kış,2,5502.49,10,4.4,True,True,True,1,2161.84
RZV00135,2024-01-03 19:33:00,Çift,Standart,36-45,Kredi Kartı,Kış,4,6982.46,7,3.7,True,False,True,2,1223.3
RZV00136,2024-01-03 20:13:00,Çift,Lüks,26-35,Online Ödeme,Kış,2,6312.5,8,4.5,True,True,False,4,1870.54
RZV00137,2024-01-03 20:16:00,Aile,Lüks,26-35,Nakit,Kış,4,13003.66,14,5.0,True,True,True,0,2612.96
RZV00138,2024-01-03 21:07:00,Aile,Ekonomik,36-45,Nakit,Kış,5,5746.17,15,3.3,True,True,False,5,685.11
RZV00139,2024-01-03 21:28:00,Çift,Royal,36-45,Online Ödeme,Kış,2,4677.82,9,4.2,True,True,True,4,1587.89
RZV00140,2024-01-03 21:33:00,Aile,Standart,26-35,Online Ödeme,Kış,7,12456.89,11,3.4,True,True,False,2,1351.34
RZV00141,2024-01-03 21:47:00,Arkadaş Grubu,Royal,26-35,Nakit,Kış,4,10145.58,10,3.8,True,False,True,0,1795.53
RZV00142,2024-01-03 22:14:00,Çift,Ekonomik,26-35,Online Ödeme,Kış,2,2326.77,11,3.8,False,False,False,0,304.77
RZV00143,2024-01-03 22:36:00,Çift,Standart,36-45,Kredi Kartı,Kış,2,3522.82,20,3.6,True,False,False,2,764.3
RZV00144,2024-01-03 22:43:00,Aile,Standart,36-45,Online Ödeme,Kış,4,6512.96,6,3.9,True,False,False,1,1026.42
RZV00145,2024-01-04 10:22:00,Aile,Lüks,18-25,Online Ödeme,Kış,3,8165.66,14,4.4,False,True,False,0,1573.52
RZV00146,2024-01-04 11:05:00,Çift,Royal,36-45,Kredi Kartı,Kış,2,4749.63,10,5.0,True,True,False,2,949.42
RZV00147,2024-01-04 11:08:00,Arkadaş Grubu,Royal,26-35,Nakit,Kış,3,6651.84,7,4.5,True,True,False,1,1659.66
RZV00148,2024-01-04 11:45:00,Aile,Royal,36-45,Online Ödeme,Kış,4,9971.26,9,4.2,False,True,True,7,1576.42
RZV00149,2024-01-04 11:46:00,Aile,Royal,36-45,Kredi Kartı,Kış,3,7484.52,10,4.3,True,False,False,0,1517.03
RZV00150,2024-01-04 12:11:00,Aile,Royal,60+,Havale,Kış,3,7628.47,6,3.8,True,False,False,0,908.67
RZV00151,2024-01-04 12:36:00,Çift,Standart,18-25,Kredi Kartı,Kış,4,6633.49,10,3.9,True,True,False,3,829.21
RZV00152,2024-01-04 12:56:00,Arkadaş Grubu,Standart,46-60,Kredi Kartı,Kış,2,3069.05,9,3.7,True,True,False,1,696.24
RZV00153,2024-01-04 13:01:00,Aile,Standart,36-45,Online Ödeme,Kış,3,4854.93,8,4.2,False,True,True,0,765.14
RZV00154,2024-01-04 13:42:00,Aile,Royal,26-35,Havale,Kış,4,9458.71,22,4.2,False,False,True,4,1895.24
RZV00155,2024-01-04 13:58:00,Çift,Lüks,36-45,Kredi Kartı,Kış,4,12361.75,8,4.3,True,False,True,2,2363.19
RZV00156,2024-01-04 14:17:00,Çift,Standart,26-35,Kredi Kartı,Kış,2,3319.79,13,4.3,True,True,True,3,666.56
RZV00157,2024-01-04 14:22:00,Aile,Royal,46-60,Nakit,Kış,4,9588.64,29,4.0,True,True,False,0,1410.4
RZV00158,2024-01-04 14:39:00,Çift,Royal,26-35,Nakit,Kış,3,7174.65,24,3.9,True,True,True,1,1837.29
RZV00159,2024-01-04 14:54:00,Arkadaş Grubu,Standart,36-45,Kredi Kartı,Kış,2,3172.19,14,3.9,True,True,False,2,911.97
RZV00160,2024-01-04 15:00:00,Aile,Royal,36-45,Kredi Kartı,Kış,5,12192.86,43,3.8,True,True,True,0,1920.52
RZV00161,2024-01-04 15:15:00,Aile,Standart,46-60,Kredi Kartı,Kış,4,6717.38,23,3.7,False,True,False,0,1176.08
RZV00162,2024-01-04 15:47:00,Aile,Lüks,26-35,Online Ödeme,Kış,4,12632.85,20,4.1,True,True,False,1,2005.09
RZV00163,2024-01-04 15:49:00,Çift,Standart,60+,Kredi Kartı,Kış,3,5294.42,32,3.2,True,False,True,0,1052.87
RZV00164,2024-01-04 15:56:00,Arkadaş Grubu,Royal,36-45,Online Ödeme,Kış,3,6585.18,33,3.8,False,False,False,0,765.43
RZV00165,2024-01-04 16:04:00,Arkadaş Grubu,Royal,46-60,Online Ödeme,Kış,2,4749.3,21,3.7,True,True,True,0,1590.34
RZV00166,2024-01-04 16:08:00,Aile,Ekonomik,46-60,Kredi Kartı,Kış,5,6633.18,37,3.0,True,True,False,0,718.28
RZV00167,2024-01-04 16:29:00,Çift,Ekonomik,26-35,Nakit,Kış,2,2339.38,20,3.8,False,False,False,3,324.3
RZV00168,2024-01-04 16:40:00,Çift,Standart,36-45,Kredi Kartı,Kış,2,3598.9,12,3.7,False,True,True,1,873.56
RZV00169,2024-01-04 16:44:00,Arkadaş Grubu,Lüks,18-25,Kredi Kartı,Kış,2,5619.19,15,3.9,True,True,True,1,1339.89
RZV00170,2024-01-04 16:58:00,Çift,Lüks,36-45,Kredi Kartı,Kış,3,8930.51,23,4.8,True,True,False,3,1751.92
RZV00171,2024-01-04 17:06:00,Arkadaş Grubu,Standart,36-45,Kredi Kartı,Kış,3,5549.37,30,3.3,False,False,False,6,705.46
RZV00172,2024-01-04 17:08:00,Aile,Royal,26-35,Havale,Kış,3,7241.87,37,4.1,True,False,True,6,1254.64
RZV00173,2024-01-04 17:16:00,Aile,Lüks,46-60,Kredi Kartı,Kış,4,11719.25,32,4.3,True,True,False,2,2703.05
RZV00174,2024-01-04 17:42:00,Aile,Lüks,36-45,Havale,Kış,3,8044.63,36,3.8,False,False,True,1,2178.19
RZV00175,2024-01-04 17:54:00,Çift,Lüks,46-60,Kredi Kartı,Kış,3,8270.64,14,4.4,True,True,True,1,2674.41
RZV00176,2024-01-04 17:55:00,Çift,Lüks,60+,Online Ödeme,Kış,2,6043.61,32,4.5,True,True,True,0,2180.39
RZV00177,2024-01-04 18:45:00,Çift,Standart,26-35,Kredi Kartı,Kış,3,5093.7,14,3.7,False,False,False,1,487.3
RZV00178,2024-01-04 18:53:00,Aile,Standart,26-35,Kredi Kartı,Kış,4,6614.81,16,3.3,True,True,False,0,1237.52
RZV00179,2024-01-04 19:03:00,Aile,Lüks,36-45,Kredi Kartı,Kış,7,22587.69,7,4.8,False,True,True,2,2204.01
RZV00180,2024-01-04 19:08:00,Aile,Royal,18-25,Online Ödeme,Kış,3,6900.79,11,4.1,True,True,False,2,1377.04
RZV00181,2024-01-04 19:13:00,Çift,Standart,26-35,Kredi Kartı,Kış,2,3425.26,8,4.2,True,False,True,3,659.58
RZV00182,2024-01-04 19:14:00,Çift,Royal,36-45,Online Ödeme,Kış,2,4825.42,9,4.2,False,True,True,1,1005.06
RZV00183,2024-01-04 19:17:00,Aile,Standart,36-45,Online Ödeme,Kış,7,11965.37,5,3.8,True,False,False,0,1461.57
RZV00184,2024-01-04 19:18:00,Çift,Royal,26-35,Havale,Kış,4,9477.32,8,4.2,True,False,False,1,1355.93
RZV00185,2024-01-04 19:26:00,Arkadaş Grubu,Lüks,60+,Kredi Kartı,Kış,2,5756.11,8,4.5,True,True,True,5,1803.59
RZV00186,2024-01-04 19:39:00,Aile,Standart,36-45,Havale,Kış,4,7355.92,15,3.4,True,True,False,6,792.7
RZV00187,2024-01-04 19:41:00,Çift,Standart,26-35,Nakit,Kış,4,6733.09,8,3.4,True,True,True,1,1564.27
RZV00188,2024-01-04 19:54:00,Arkadaş Grubu,Standart,36-45,Online Ödeme,Kış,3,5129.02,8,3.5,True,False,True,1,811.34
RZV00189,2024-01-04 20:14:00,Çift,Royal,46-60,Kredi Kartı,Kış,3,7363.45,12,4.7,True,True,False,0,1173.81
RZV00190,2024-01-04 20:33:00,Çift,Royal,26-35,Kredi Kartı,Kış,2,4348.41,10,3.8,True,True,True,0,1196.47
RZV00191,2024-01-04 21:13:00,Aile,Royal,26-35,Nakit,Kış,3,7541.68,12,4.0,False,True,False,1,837.92
RZV00192,2024-01-04 21:15:00,Arkadaş Grubu,Royal,36-45,Kredi Kartı,Kış,4,9543.81,10,4.2,True,True,False,0,1471.86
RZV00193,2024-01-04 22:01:00,Arkadaş Grubu,Royal,26-35,Kredi Kartı,Kış,4,9819.26,10,3.9,True,False,False,5,1213.65
RZV00194,2024-01-04 22:02:00,Aile,Royal,36-45,Kredi Kartı,Kış,4,10037.91,11,4.4,True,False,False,0,1627.79
RZV00195,2024-01-04 22:19:00,Tek Kişi,Ekonomik,36-45,Kredi Kartı,Kış,1,1370.4,13,3.5,True,False,False,0,215.62
