EmployeeNumber,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
57,28,No,Travel_Rarely,309,Research & Development,7,4,Medical,1.0,4,Male,42,2,Laboratory Technician,4,Divorced,6800.0,4,No,24,3,4,80,0,10,0,3,0,0,0,0
58,33,No,Travel_Frequently,316,Research & Development,15,3,Life Sciences,1.0,3,Male,43,3,Research Scientist,3,Married,6972.0,1,No,20,3,2,80,1,15,3,3,1,0,1,1
59,40,No,Travel_Rarely,691,Research & Development,13,2,Life Sciences,1.0,4,Male,95,3,Research Director,1,Single,15209.0,9,No,16,4,2,80,3,22,4,4,22,9,4,0
60,46,No,Travel_Rarely,443,Research & Development,7,3,Technical Degree,1.0,3,Female,60,3,Research Scientist,3,Divorced,9755.0,4,No,18,3,4,80,1,28,2,2,3,3,1,3
61,32,No,Non-Travel,372,Research & Development,14,5,Marketing,1.0,2,Male,51,2,Laboratory Technician,4,Single,8196.0,4,No,13,3,1,80,3,14,3,3,12,10,4,0
62,35,Yes,Non-Travel,306,Research & Development,17,3,Life Sciences,1.0,2,Male,42,3,Laboratory Technician,1,Single,6739.0,4,No,17,3,2,80,0,17,1,3,4,2,4,3
63,25,No,Travel_Rarely,423,Research & Development,5,5,Other,1.0,4,Female,58,3,Research Scientist,3,Married,9309.0,0,No,20,3,1,80,0,7,5,3,1,1,0,1
64,25,Yes,Travel_Frequently,600,Research & Development,8,4,Life Sciences,1.0,3,Male,82,3,Manufacturing Director,2,Married,13217.0,0,Yes,16,3,2,80,0,7,2,2,0,0,0,0
65,45,No,Travel_Frequently,460,Sales,9,4,Life Sciences,1.0,4,Male,63,3,Sales Representative,3,Married,10125.0,7,No,24,4,4,80,2,27,3,3,9,0,1,3
66,50,Yes,Travel_Rarely,445,Research & Development,10,4,Medical,1.0,4,Female,61,3,Research Scientist,4,Married,9806.0,6,No,25,3,3,80,0,32,2,2,4,4,4,0
67,36,No,Travel_Rarely,462,Research & Development,6,4,Other,1.0,3,Male,63,3,Laboratory Technician,3,Divorced,10164.0,5,No,15,3,3,80,2,18,2,2,18,0,1,2
68,47,No,Non-Travel,433,Sales,5,4,Medical,1.0,4,Female,59,1,Sales Executive,2,Divorced,9527.0,7,No,24,3,4,80,2,29,4,3,16,0,0,1
69,40,Yes,Travel_Rarely,422,Research & Development,18,5,Marketing,1.0,1,Female,58,3,Research Scientist,4,Married,9299.0,5,Yes,15,4,4,80,0,22,2,4,1,1,0,1
70,30,Yes,Travel_Rarely,429,Sales,4,5,Life Sciences,1.0,4,Female,59,3,Sales Executive,1,Married,9453.0,1,No,16,3,3,80,2,12,2,3,7,2,0,1
71,40,Yes,Travel_Rarely,415,Research & Development,11,3,Life Sciences,1.0,1,Male,57,2,Research Scientist,4,Married,9133.0,2,No,16,3,4,80,1,22,4,2,1,1,0,1
72,52,Yes,Travel_Rarely,456,Research & Development,12,4,Medical,1.0,3,Male,62,3,Laboratory Technician,2,Single,10045.0,7,Yes,12,3,2,80,0,34,2,4,3,1,0,3
73,36,Yes,Travel_Rarely,651,Research & Development,7,4,Life Sciences,1.0,1,Female,89,3,Research Director,4,Married,14338.0,4,Yes,22,3,4,80,1,18,3,3,2,0,0,2
74,52,No,Travel_Rarely,387,Research & Development,11,2,Life Sciences,1.0,2,Female,53,3,Research Scientist,3,Divorced,8514.0,6,No,13,3,4,80,0,34,3,4,5,3,5,4
75,18,No,Travel_Frequently,618,Research & Development,4,3,Human Resources,1.0,3,Female,85,4,Research Director,4,Divorced,13610.0,6,No,17,3,2,80,3,0,2,3,0,0,0,0
76,45,No,Travel_Rarely,695,Research & Development,7,3,Life Sciences,1.0,3,Female,95,3,Research Director,4,Married,15307.0,4,Yes,24,4,2,80,3,27,4,2,15,0,6,0
77,37,No,Non-Travel,379,Research & Development,18,3,Life Sciences,1.0,1,Female,52,3,Laboratory Technician,3,Divorced,8348.0,2,Yes,22,3,1,80,1,19,3,4,8,8,2,0
78,34,No,Travel_Rarely,417,Research & Development,10,5,Life Sciences,1.0,2,Male,57,3,Research Scientist,3,Divorced,9195.0,2,No,12,3,3,80,2,16,4,1,6,0,5,1
79,37,No,Travel_Rarely,626,Research & Development,6,4,Medical,1.0,3,Male,86,2,Research Director,3,Divorced,13788.0,2,Yes,17,3,2,80,2,19,4,3,17,12,0,0
80,18,No,Travel_Rarely,319,Research & Development,5,4,Medical,1.0,2,Male,43,3,Research Scientist,2,Divorced,7036.0,0,No,15,3,4,80,0,0,2,3,0,0,0,0
81,34,No,Travel_Frequently,384,Sales,9,5,Life Sciences,1.0,3,Male,52,3,Sales Executive,3,Divorced,8467.0,4,No,17,1,3,80,1,16,4,4,3,0,0,3
82,40,No,Travel_Frequently,376,Research & Development,19,4,Technical Degree,1.0,3,Male,51,2,Laboratory Technician,1,Single,8281.0,5,No,13,3,4,80,0,22,1,3,1,0,1,1
83,51,No,Travel_Rarely,590,Research & Development,7,4,Life Sciences,1.0,2,Male,81,1,Manager,3,Divorced,12995.0,8,No,21,3,3,80,0,33,1,3,1,1,0,1
84,31,No,Travel_Rarely,642,Research & Development,5,4,Medical,1.0,1,Male,88,3,Research Director,3,Married,14138.0,3,Yes,14,4,3,80,3,13,4,4,7,2,1,0
85,28,No,Travel_Rarely,308,Research & Development,11,4,Life Sciences,1.0,4,Female,42,3,Research Scientist,4,Married,6777.0,2,No,14,2,3,80,0,10,1,4,1,1,1,1
86,31,No,Travel_Rarely,440,Sales,9,2,Life Sciences,1.0,4,Male,60,3,Sales Representative,1,Divorced,9691.0,6,No,17,3,4,80,2,13,3,3,13,1,0,3
87,46,No,Travel_Rarely,438,Research & Development,8,3,Other,1.0,2,Male,60,3,Laboratory Technician,4,Single,9640.0,3,No,25,3,4,80,0,28,1,3,5,2,0,5
88,40,No,Non-Travel,301,Research & Development,6,2,Marketing,1.0,4,Female,41,2,Research Scientist,4,Single,6642.0,4,No,11,4,4,80,1,22,3,3,4,0,0,0
89,31,No,Travel_Rarely,321,Research & Development,7,3,Medical,1.0,3,Female,44,4,Laboratory Technician,3,Married,7070.0,0,No,14,3,4,80,0,13,4,4,3,3,0,3
90,42,No,Travel_Frequently,655,Research & Development,11,3,Life Sciences,1.0,4,Male,90,3,Manufacturing Director,2,Divorced,14416.0,6,Yes,12,3,3,80,1,24,3,2,2,2,2,1
91,37,No,Non-Travel,434,Human Resources,12,4,Life Sciences,1.0,4,Male,59,3,Human Resources,3,Divorced,9569.0,2,No,13,3,1,80,2,19,5,1,16,1,14,16
92,46,No,Travel_Rarely,438,Research & Development,5,4,Life Sciences,1.0,4,Male,60,2,Laboratory Technician,4,Divorced,9647.0,3,No,23,3,4,80,2,28,2,4,6,3,1,1
93,29,No,Travel_Rarely,513,Sales,12,4,Medical,1.0,3,Male,70,3,Manager,4,Divorced,11304.0,2,No,19,3,4,80,0,11,4,2,1,1,1,1
94,33,No,Travel_Rarely,412,Research & Development,9,5,Life Sciences,1.0,3,Male,56,3,Laboratory Technician,3,Divorced,9080.0,2,No,13,4,4,80,1,15,3,3,8,7,1,0
95,33,No,Travel_Frequently,340,Sales,7,4,Medical,1.0,3,Female,46,3,Sales Executive,3,Single,7501.0,2,No,21,3,3,80,1,15,3,3,1,1,1,0
96,22,Yes,Travel_Rarely,571,Research & Development,7,3,Medical,1.0,2,Female,78,4,Research Director,1,Married,12566.0,5,Yes,11,3,4,80,1,4,1,3,4,4,1,2
97,39,No,Travel_Rarely,614,Research & Development,12,5,Human Resources,1.0,3,Female,84,3,Manager,3,Married,13508.0,5,No,20,4,4,80,1,21,0,3,5,4,3,5
98,39,No,Travel_Rarely,520,Research & Development,15,4,Life Sciences,1.0,2,Male,71,3,Manager,3,Single,11448.0,4,No,16,3,3,80,2,21,4,3,4,1,3,2
99,37,Yes,Travel_Rarely,704,Research & Development,5,5,Human Resources,1.0,2,Male,96,4,Research Director,2,Divorced,15499.0,5,No,24,3,4,80,3,19,4,2,7,4,5,1
100,34,No,Travel_Rarely,314,Sales,24,3,Medical,1.0,2,Male,43,2,Sales Representative,3,Married,6925.0,1,No,16,4,3,80,1,16,2,2,14,7,0,5
101,22,No,Travel_Rarely,427,Research & Development,9,4,Life Sciences,1.0,2,Male,58,3,Manager,3,Divorced,9409.0,0,Yes,15,4,2,80,2,4,2,3,3,3,3,0
102,32,No,Travel_Frequently,289,Sales,13,2,Medical,1.0,3,Female,39,3,Sales Representative,3,Married,6362.0,2,No,21,3,3,80,2,14,1,3,8,4,2,1
103,33,No,Travel_Rarely,384,Research & Development,13,4,Life Sciences,1.0,4,Female,52,2,Laboratory Technician,4,Married,8464.0,5,No,25,3,2,80,0,15,5,3,3,2,3,0
104,28,No,Travel_Frequently,332,Sales,6,4,Human Resources,1.0,3,Male,45,3,Sales Executive,1,Married,7318.0,0,Yes,17,3,4,80,1,10,2,3,3,3,3,3
105,35,No,Travel_Rarely,655,Research & Development,15,4,Medical,1.0,4,Female,90,2,Research Director,3,Divorced,14426.0,2,No,20,3,1,80,3,17,6,3,12,0,9,5
106,41,No,Non-Travel,439,Research & Development,17,4,Medical,1.0,4,Female,60,3,Laboratory Technician,3,Married,9678.0,2,Yes,21,4,3,80,1,23,4,3,5,5,3,5
107,55,No,Travel_Rarely,657,Research & Development,7,3,Marketing,1.0,1,Male,90,4,Manager,4,Married,14467.0,6,Yes,20,3,2,80,1,37,6,3,3,3,0,0
108,38,No,Travel_Rarely,302,Human Resources,7,2,Life Sciences,1.0,4,Male,41,3,Human Resources,3,Divorced,6653.0,3,No,19,3,4,80,1,20,4,1,1,1,1,1
109,39,No,Travel_Frequently,525,Sales,17,4,Medical,1.0,1,Male,72,3,Manager,2,Married,11565.0,6,Yes,24,3,2,80,2,21,3,4,11,2,1,3
110,36,No,Travel_Rarely,453,Sales,8,3,Medical,1.0,2,Male,62,3,Manager,3,Single,9966.0,5,No,22,3,1,80,2,18,2,3,6,4,2,6
111,18,No,Travel_Rarely,426,Research & Development,15,5,Other,1.0,2,Male,58,4,Research Scientist,2,Married,9382.0,1,Yes,12,3,4,80,2,0,2,3,0,0,0,0
112,36,No,Travel_Rarely,501,Human Resources,17,4,Marketing,1.0,4,Male,68,3,Manager,4,Single,11034.0,4,No,13,4,1,80,2,18,4,3,4,2,4,1
113,37,No,Travel_Frequently,406,Sales,11,4,Other,1.0,4,Female,55,4,Sales Representative,2,Divorced,8948.0,3,No,14,3,4,80,0,19,2,2,2,0,2,2
114,60,No,Travel_Rarely,576,Research & Development,6,4,Life Sciences,1.0,4,Male,79,3,Research Scientist,4,Married,12691.0,9,No,11,3,2,80,0,42,0,2,9,9,1,7
115,35,No,Travel_Frequently,424,Sales,13,4,Medical,1.0,2,Male,58,3,Sales Representative,4,Divorced,9342.0,2,Yes,23,3,3,80,0,17,2,3,0,0,0,0
116,40,No,Travel_Rarely,572,Research & Development,11,2,Life Sciences,1.0,1,Female,78,3,Research Director,4,Married,12590.0,3,No,20,4,1,80,2,22,2,3,7,7,0,3
117,36,No,Travel_Frequently,538,Sales,11,3,Life Sciences,1.0,3,Female,74,2,Sales Executive,4,Divorced,11842.0,9,No,19,3,2,80,3,18,2,3,18,2,0,2
118,25,No,Travel_Rarely,368,Sales,24,2,Life Sciences,1.0,4,Male,50,4,Sales Representative,4,Married,8098.0,4,Yes,17,3,1,80,1,7,0,2,7,7,0,1
119,48,No,Travel_Rarely,394,Research & Development,9,2,Other,1.0,4,Male,54,2,Research Scientist,3,Single,8675.0,5,No,15,3,1,80,0,30,6,2,9,2,7,0
120,44,No,Travel_Rarely,341,Human Resources,7,1,Medical,1.0,4,Female,46,3,Human Resources,2,Single,7514.0,3,No,19,3,4,80,1,26,3,3,4,4,3,1
121,44,Yes,Travel_Rarely,541,Research & Development,15,4,Life Sciences,1.0,3,Female,74,3,Manager,2,Single,11910.0,4,No,24,3,3,80,1,26,3,3,0,0,0,0
122,27,No,Travel_Rarely,521,Research & Development,8,4,Medical,1.0,4,Female,71,1,Research Scientist,1,Married,11472.0,5,No,18,4,2,80,1,9,5,3,9,9,1,8
123,51,No,Non-Travel,542,Research & Development,7,5,Technical Degree,1.0,4,Male,74,3,Laboratory Technician,1,Single,11935.0,4,No,14,3,2,80,3,33,4,3,17,3,1,3
124,22,No,Travel_Frequently,295,Sales,6,3,Medical,1.0,1,Female,40,3,Sales Executive,4,Married,6499.0,2,No,17,3,4,80,0,4,6,3,4,0,0,4
125,42,No,Travel_Frequently,691,Research & Development,5,4,Other,1.0,4,Male,95,4,Manufacturing Director,4,Married,15202.0,3,No,14,3,3,80,1,24,1,3,8,2,1,8
126,58,No,Travel_Rarely,653,Research & Development,8,2,Human Resources,1.0,3,Female,89,2,Research Director,1,Married,14387.0,9,No,18,4,3,80,0,40,3,3,5,1,0,5
127,27,No,Non-Travel,382,Human Resources,21,4,Medical,1.0,3,Male,52,3,Human Resources,4,Divorced,8423.0,4,Yes,20,3,2,80,0,9,4,3,8,5,1,5
128,31,Yes,Travel_Rarely,619,Research & Development,11,5,Life Sciences,1.0,2,Male,85,3,Manufacturing Director,4,Married,13622.0,2,No,14,3,4,80,2,13,3,3,0,0,0,0
129,37,No,Travel_Rarely,665,Research & Development,10,4,Marketing,1.0,3,Male,91,3,Laboratory Technician,2,Single,14633.0,9,No,13,2,4,80,1,19,2,2,19,0,1,7
130,31,No,Travel_Rarely,591,Research & Development,2,4,Life Sciences,1.0,3,Male,81,3,Manufacturing Director,2,Married,13003.0,1,No,22,3,4,80,2,13,1,3,10,1,0,2
131,21,No,Non-Travel,360,Research & Development,8,5,Marketing,1.0,4,Male,49,3,Research Scientist,3,Single,7930.0,0,No,13,3,4,80,0,3,3,3,2,2,0,2
132,37,No,Travel_Rarely,376,Research & Development,13,3,Life Sciences,1.0,4,Male,51,4,Laboratory Technician,2,Married,8278.0,2,No,23,3,4,80,0,19,2,3,5,1,3,4
133,26,No,Non-Travel,209,Research & Development,16,1,Life Sciences,1.0,4,Male,30,2,Research Scientist,2,Married,4943.9992,0,No,19,3,2,80,0,8,5,1,4,2,3,3
134,41,Yes,Travel_Rarely,667,Research & Development,11,4,Medical,1.0,4,Male,91,4,Research Director,2,Single,14678.0,2,No,12,3,2,80,2,23,2,4,3,3,0,2
135,27,No,Travel_Rarely,259,Research & Development,17,1,Life Sciences,1.0,4,Female,35,2,Research Scientist,2,Married,5715.0,3,No,23,3,4,80,0,9,1,3,4,4,0,4
136,52,No,Travel_Rarely,489,Sales,13,4,Life Sciences,1.0,2,Male,67,3,Sales Representative,3,Single,10769.0,4,Yes,20,1,4,80,0,34,1,2,5,5,5,5
137,29,No,Travel_Rarely,570,Research & Development,13,4,Technical Degree,1.0,2,Female,78,3,Research Director,4,Married,12558.0,2,No,12,3,1,80,2,11,0,4,5,0,1,2
138,33,No,Travel_Frequently,393,Sales,6,4,Other,1.0,3,Female,54,2,Sales Executive,4,Divorced,8667.0,2,No,25,3,4,80,3,15,3,3,12,1,0,0
139,45,No,Travel_Rarely,342,Research & Development,12,2,Life Sciences,1.0,3,Male,47,3,Research Scientist,4,Married,7529.0,4,Yes,24,3,3,80,1,27,3,3,0,0,0,0
140,24,No,Travel_Frequently,466,Research & Development,13,2,Marketing,1.0,2,Male,64,3,Research Director,2,Divorced,10270.0,3,No,19,3,2,80,2,6,4,3,0,0,0,0
141,39,No,Travel_Rarely,488,Research & Development,7,5,Life Sciences,1.0,4,Female,67,3,Laboratory Technician,3,Divorced,10751.0,3,No,23,3,1,80,0,21,2,2,4,4,1,4
142,50,Yes,Travel_Frequently,457,Sales,12,4,Medical,1.0,3,Male,62,1,Sales Representative,2,Single,10054.0,5,Yes,21,3,1,80,1,32,2,3,4,4,1,0
143,20,No,Travel_Rarely,316,Research & Development,7,3,Medical,1.0,2,Male,43,3,Laboratory Technician,1,Married,6968.0,4,Yes,11,3,1,80,1,2,0,3,2,2,1,2
144,38,No,Travel_Frequently,414,Sales,10,4,Medical,1.0,3,Male,57,3,Sales Executive,3,Single,9125.0,6,No,21,3,3,80,1,20,1,3,2,0,1,2
145,39,No,Travel_Rarely,445,Sales,12,5,Life Sciences,1.0,2,Male,61,2,Sales Executive,4,Married,9802.0,3,No,22,3,4,80,0,21,2,1,0,0,0,0
146,44,No,Travel_Rarely,394,Sales,7,3,Technical Degree,1.0,1,Male,54,3,Sales Representative,4,Married,8669.0,5,No,21,3,4,80,3,26,2,1,11,0,2,1
147,24,No,Travel_Rarely,277,Research & Development,8,2,Life Sciences,1.0,4,Female,38,3,Laboratory Technician,3,Married,6101.0,1,No,17,3,4,80,0,6,0,3,4,2,2,4
